Course,Prerequisites
02586,"01001/01002/01003/01004/01005.­(02402/02403) , The course requires maturity for
   what regards statistical applications. It is an advantage to
   have followed 02405 Probability."
41634,BSc/BEng
42180,"02402/02403/02323, or similar introduction course to
   statistics."
11035,11951/11952
11951,none
11952,11951
11953,0
11955,"Compentences equivalent to 1. and 2. term at B.eng.
architectural engineering"
11956,"basic knowledge of architectural history and theory and basic
design skills"
11957,"11937, Basic Knowledge of building
physics"
11968,"11911, The compulsory courses for DTU
Architectural Engineering BA students The first five semesters on
Architectural Engineering"
22000,"31200, in the same semester, if
needed"
22004,31200/22000
11765,"Compulsory courses for BSc Eng. direction Building and Infra
Structure for 1. to 3. semester."
62366,62254/62276/13511/42986/42975
62381,62265.62276
62371,62318.62327.62261.62271.
62377,"62318/11954/11835, Approved
   internship"
11525,Second year of ba eng architectural engineering
62267,62318.62328
62268,62329
62269,(62328/11831).­(62327/11835)
62277,62317/62328
62280,"62328.62268.62277, The student is recommended to
   have followed the relevant course
   package."
62378,62270
11921,11911
01903,01901
30530,01005/01006/01015
62271,62319eller41872
62281,62261/62271/11957
62327,62318
62328,62317
62265,62330/62199
31770,"Fundamental knowledge within electrical circuits and static
electromagnetism."
34553,"34552, Photovoltaic systems"
27250,"27230.27256/23258, Knowledge of the methods and
   paradigms in molecular microbiology to follow a discussion
   amongst professionals and read relevant literature. Master the
   basic experimental skills in molecular microbiology. Competences
   within physiology of Pro- and Eukaryotic cells, biochemistry, as
   well as basic knowledge of immunology."
23205,"23258.23256, Knowledge in microbial diversity
   and the basic biological processes related to molecular
   microbiology, microbial physiology, and host immune defenses.
   Basic microbiological experimental skills/knowledge, such as
   microbial cultivation and PCR. Basic statistical
   skills/knowledge, such as understanding probability and
   interpreting results of statistical tests as applied in e.g.
   experimental and epidemiological
   studies."
12124,"12122, Basic GIS
knowledge"
10933,01931/01932/11911/11921
42467,"42530.42490, TEMO. Strategy and Planning
Methods"
41225,"41102/41312.41224, Linear wave dynamics (41224) and
   basic knowledge about hydrodynamics and/or fluid
   dynamics."
41319,"41312/41102/10346/31521.­41323.­02601.­02631.­02685, A basic course in fluid dynamics
   along with some programming experience in MATLAB is expected. An
   advanced course in fluid mechanics and courses on numerical
   algorithms and methods for solving differential equations are
   all very helpful."
62369,622616227141452
62657,"62675og62694, Mechanics and
Dynamics"
42377,"42372, Life cycle assessment of products
and systems"
42439,"38435.42490, Bachelor degree, and ideally
introduction course in Management (e.g., 42435 or 42490)"
42436,42435OR42490
42081,"42042.42021/42640or02810/02266, this is an advanced course – it
   is essential that participants have previously completed a
   project using participatory design approaches or equal UX
   competencies."
42111,"familiarity with programming in MatLab is an expected
prerequisite for the course."
42116,"Object oriented programming experience (java, c++, or similar)
A good understanding of integer
programming"
42451,42405
42457,"It is expected that participants have basic knowledge of
operations research, statistics and mathematics."
42084,"42042, The main prerequisite for this
course is having read and being familiar with the book by
Holtzblatt & Beyer (2017): Contextual Design."
31765,"31730, 31730 – Fundamentals of Electric
Power Engineering or equivalent Linear Algebra or equivalent
Complex Analysis or equivalent Programming in Matlab; Python or
another programming language also ok."
42123,"42101/42112/42104, Introduction to Financial
   Engineering 42101 (Introduction to Operations Research) and
   42112 (Mathematical programming with modelling software) or
   similar courses"
02431,"02402, Knowledge of elementary theory of
probability and statistics. The student should have an advanced
understanding of a relevant complex topic within the student's
area of specialisation"
34345,11404/62276/62622
42185,42401/42101
01405,"01018, Understanding of basic concepts from
algebra: linear algebra, finite fields, quotient rings, the
isomorphism theorem, polynomial rings. Some programming
experience."
42892,"42114, or an intermediate level course
covering modelling or quantitative methods. Knowledge of the
maritime sector is useful but not necessary."
42438,34541.42435.42436.42490
42390,42349.42350.42351.
34315,"Interested in working in the lab, developing hardware
prototypes, and embedded programming."
02514,"02502.02450.02456.02506, 02502, 02450, and either 02456 or
   02506"
02455,"02411.­(02002/02631/02632/02633/02525) , Experience with Matlab or
   Python"
31567,"31561AND
(31545or31560)"
36636,"02402/27026/27610/27626, Basic understanding of molecular
   biology and microbiology (e.g. 27026), basic programming &
   data handling skills (e.g. 27610 or similar), basic
   understanding of statistics and R (e.g. 02402 or similar) Basic
   knowledge of NGS data analysis at the level of e.g. 27626 will
   be advantageous. Principles of NGS data analysis will be
   reviewed during the course. You should know how to: -navigate in
   UNIX (create directories, open/move/delete files etc.),
   Navigation and basic UNIX skills will only be reviewed briefly
   -execute programs on command line -run and modify simple shell
   and R code, Basic R and shell scripting will only be reviewed
   briefly Laboratory experience is not required but will be
   advantageous."
62130,Internship completed.
46100,"Need to know/use undergraduate mathematics including
differential & integral calculus with vectors & complex
numbers (e.g. DTU 01005 & 01901). Some basic fluid
mechanics/dynamics is also used and thermodynamics is a bonus.
Experience with programming in Matlab, Python, Mathematica, or
similar—equivalent to e.g. 02631/02633, in order to do the
assignments."
46211,"02002.46300. , Matlab or Python skills equivalent
to course 02002. This level of Matlab/Python skills is essential to
carry out the course reports. 46300 can with some effort be taken
concurrently. Further qualified prerequisites: Fluid Mechanics
equivalent to course 41312 or 41102. Numerical Analysis equivalent
to course 02601. Loads on offshore structures equivalent to course
41107 will be an advantage."
46300,"Basic fluid mechanics. Programming skills required (Matlab,
Python or similar)"
31238,"31200, Fundamentals of Acoustics and Noise
Control"
42195,"02402, or similar introduction to
statistics."
42188,"42180/02441/02409, Or similar statistical courses. It
is a requirement that the students have basic mathematical
programming experience (e.g.: R and Phyton). A certain level of
mathematical understanding is also a
requirement."
31783,"31730, Basic knowledge of physical
modelling and DIgSILENT Powerfactory. Students taking both course
31778 and 31783 are advised to take 31778 before
31783."
46400,"46300/02631/02633, Wind Turbine Technology and
   Aerodynamics, since knowledge on wind turbine structure and
   operational behaviour are important in this course. Working
   knowledge of Python or Matlab programming will be necessary in
   order to complete the assignments."
46420,41015/41501.­46410.­46430.­46440
42887,"42114.42115, Concerning prerequisites for
   foreign students please contact the responsible teacher by
   e-mail."
31773,"31730 Electric Power Engineering,
fundamentals"
42182,"02402/02403eller lignende introduktion til
   statistik , Statistics and statistical modelling of
   traffic"
42885,42114.42115
42086,"41031/42031/42041/42061/41071/42071/41603/42603/41612/42612/42075, The main prerequisite for this
   course is having read and being familiar with: Nigel Cross
   (2008) Engineering Design Methods: Strategies for Product
   Design, Wiley, fourth edition."
31742,"31730, Fundamentals of electric power
engineering, including per unit system, admittance matrices,
pi-equivalent circuits."
42279,"42270.42274/42275/42280, The course will be given in
   Danish in 2017, hence the command of Danish language is a
   crucial prerequisite"
30750,01035.­30120.­30140.­(02631/02632/02633)
42262,"12205.30750, Prior participation in one or
   more of the following courses may be advantageous but is not
   mandatory: 12205 (Climate change – impacts, mitigation and
   adaptation) or 30750 (Earth System
   Science)"
42181,"42115, 02402/02403 (or similar statistics
course)"
02407,"02405.(02402/02403) , Basic knowledge of probability
   and statistics. Distribution function, moments. (E.g.
   02402/02403+02405) Knowledge of programming, e.g.
   Matlab."
42376,"4240142417, Introduction to Management Science
Simulation in Operations Management"
12226,"12102 and a course on general
chemistry"
62200,completed engineering internship
62240,"62160.62170.62180.62190, Passed English 1 - US Civics and
   Academic Writing 1; passed English 2 - US Civics and Academic
   Writing 2; passed English 3 - UK Civics and Academic Writing 3;
   passed English 4 - Challenges of Global Business and
   Geopolitical Economics."
62246,"Courses in German as second foreign language (German 1-3)
should be passed"
42107,"42580, Basic knowledge about probabilities
and probability distributions plus 42580 Engineering work 1 or
similar"
02261,"(02160/02161).02162, Solid software engineering skills
   (comparable to 02161 and 02162)"
33480,"The course is not recommended until after the 3rd
semester"
62138,30 ECTS Manufacturing Engineering internship passed.
42881,"42101.42112/42114/42115, Or similar introductory course(s)
   in operations research as well as knowledge of integer
   programming OR network optimisation."
41534,"62675.41533, Mechanics. Statics.
   Introductional strength of materials within stresses and strains
   for beams"
62606,"62677/62904.62800, 62677 Applied control engineering
   62904 Applied control engineering 62800 Introduction to
   mechatronics and robotics systems"
62691,None
41633,BSc/BEng
02223,"Students are expected to be familiar with an imperative
programming language (02161) and basics of computer architectures
(02132 or 02151)."
42878,"13125/13524/13525/13523/13240/42880, or a similar introductory course
   in railway management and operations"
12333,"Introductory hydrology: precipitation, evapotranspiration,
groundwater flow, surface water flow, reactive transport. Basic
knowledge in mathematical modelling. Basic knowledge of
environmental and engineering economics. Proficiency in MS Office
tools (Word, Excel, Power Point) and Python / Jupyter
notebooks"
31787,"31730.31756.31782(only relevant for wind power) , Basic
knowledge to power systems, power and signal electronics and
electrical machines"
34343,34330
41731,41703/41781.41782
02685,"Basic course in numerical algorithms, eg 02601/02603. Basic
knowledge in programming, eg 02631."
42883,"02101/02102/02631/02633/02691/02693, Introduktion course to
   programming or similar."
12231,"12102, Fundamental environmental chemistry,
inorganic and organic chemistry"
42884,"42114/13236, or an intermidiate level course
   covering modelling og quantitative methods."
42877,"13011/13111/13511.­13125/13240/13523/13524/13525, Knowledge of geometric design of
   roads or railways and use of CAD which is achieved via one of
   the courses 13011, 13111 or 13511. Knowledge of railway capacity
   and running time calculation is desired and can be achieved via
   one of the courses 13240 (MSc) or 13523
   (BEng)."
41972,"Knowlegde of polymer materials and polymer processing e.g.
41736/​41737/​41785/​42231/​42233/​42932, 41650, 41659"
25311,25302/25307/25349
02505,"02402.02502, It is assumed that the participants
have had an introductory statistics course and an introductory
image analysis course. Furthermore, working knowledge of Matlab is
expected."
02910,"It is assumed that the participants have a basic knowledge of
statistics or data analysis, and knowledge of Matlab, python or
R."
02936,"R/Python programming Probability theory/statistics (or
equivalent courses)"
62110,6210162103
62118,"The course is mandatory for the P-students, thus they have
priority, specific morning"
62120,"Project on 2nd and 3rd semester and mandatory courses at 1st
and second semester passed. Examination in 3rd semester courses and
participation in 4th semester courses."
62133,"62079 Introduction to Operations Management or
similar"
62202,"For non-Global Business and Technology: basic chemistry,
general environmental science, basic knowledge of materials and
industrial production processes."
31547,"31545, Knowledge of MRI corresponding to
notes athttp:/​/​eprints.drcmr.dk/​37/​is required (until and including k-space) and the corresponding
mathematical formalism covered in course 31545. A questionnaire
covering course prerequisites is available on the course homepage
for repetion ahead of the course, but also to give participants not
having taken 31545 insight into what they need to study themselves
in advance."
31560,31561/02451
42996,"Traineeship carried out in a company and completion of the
first four mandatory semesters of the Bachelor of Engineering
programme in Traffic and Transport"
42585,"42101.­02450.­(02402/02403/02406) , Introduction to Operations
   Research (42101) Introduction to (Mathematical) Statistics
   (02402/02403/02406)"
12342,"12320/02402, Introductory hydrology and basic
   statistics. Python will be used throughout the course to solve
   the assignments. Basic programming skills are assumed
   known."
10041,"(10020/10022/10024).­01005, Physics 1 and Mathematics
   1"
41221,"41202/41201.­41312.­01418.­41263, Mathematics, including linear
   algebra, calculus and differential equations; statistics and
   probability theory; basic naval architecture/ocean engineering;
   empirical methods for calculation of resistance and propulsion
   of ships, including propeller theory; applied mathematics
   (partial differential equations)"
41263,41201/41107
41271,"41201, Basic naval architecture, including
basic hydrostatics, stability, resistance and
propulsion."
41280,41271.41202/41201
41789,"41714.41501.41659, 41714: Manufacturing technology and
operations management 41501: Strength of materials 1 41659:
Materials science for mechanical
engineers"
62668,"01901, BasisMat"
62704,"62676/62745/62760, These courses should be passed in
order to follow the course."
62714,"01901/01920/62735/62763/62764, Calculus and Algebra 1 Calculus
   and Algebra 2 Advanced Mathematics for diploma Electro
   Technology, or equivalent. Electrotechnique 1, or equivalent, or
   equivalent. Electrotechnique 2, or equivalent, or
   equivalent."
62752,62751/02318
62755,"62760or34601/34722/62752, to be followed in
parallel"
62760,"62715/62745, It will be difficult to complete
   the course if the student doesn't have a good understanding
   of circuit calculations and especially calculations using
   complex numbers and three phase systems. The student also should
   have a level ov competetency in the use of calculation programs
   like Excel, Maple, Matlab and the
   like."
62761,62760
62765,"62755/62755(31039) /62601(62602) /62714, These courses should be passed in
order to follow the course."
62766,62761.62784
62783,"62677, Applied Control
Engineering"
62784,"It is recomended that the students have competances in the area
of electrical energy technology equivalent to a student at the 4th
semester on the electrical energy technology
study"
42387,"This is an introductory course reserved specifically for
students in the MSc in Technology Entrepreneurship"
42388,Feasibility Studies
22620,"The course is not recommended until after the 3rd
semester"
41275,"41202/41201.­41271.­02402.­02405.­02101/02631, Fundamental knowledge about ships
   and floating structures. Furthermore, 25 ECTS in math and
   physics, 5 ECTS in statistics and probability theory, 10-15 ECTS
   in statics and structural mechanics, 5 ECTS in fluid mechanics.
   The applicant should have experience with numerical methods and
   programming using e.g. MATLAB."
10260,"47202.­26020.­(10036/10041).­01006, or equivalent courses"
12701,"27008 Life Science in parallel with the course for General
Engineering BSc students."
26030,None
31725,"(31728/31070).(31300/1) , Mikrocontroller programming,
   Linear Control Design 1, basic Python programming"
31782,"(31730/31036).­(31035/31400) , (Electric Power Engineering,
   Fundamentals or Electrical Energy Systems) and (Electromagnetics
   or Engineering Electromagnetics) It is desirable that the
   students have background knowledge of electrical power and
   electromagnetism corresponding to what would be gained in 31730
   or 31036 and 31035 or 31400
   respectively."
33270,"Design-build courses 1-3 on the general engineering study
line"
41571,(01005/01006/01015).­(10018/10020/10022/10024/10033/10050/10052/10054/41015).­
47201,01005/01006/10018/10020/10022/10024
47202,"Bachelor in Design of Sustainable Energy Systems, Bachelor in
Physics and Nanotechnology, or Chemistry and Technology, or
Production and Construction, or Electro Technology, or General
Engineering, or similar."
10240,"01003: Mathematics 1a (Polytechnical foundation), Spring part
of 10063: Physics (Polytechnical Foundation), 02003: Computer
Programming (Polytechnical Foundation), 26020: Chemistry
(Polytechnical Foundation), 27016: Design-Build
1"
47205,47202/10041
12238,"(12102)
(12104)
(12233)
(26000)
(26400) , Qualified Prerequisites: 2-3
courses within Environmental Chemical and Biological Processes,
Environmental Chemistry, Ecotoxicology, Basic (Organic) Chemistry,
Environmental Pollution and Physical Chemistry."
34021,10020.10036.31400.34120
62253,62337
62254,"62315.62316.62325.62326.62334. , Passed 1st and 2nd semesters
courses. Passed the 3rd semester course on 'Environment and
Infrastructure'"
62334,62315.62325
12134,"27002, Life Science (or other
university-level general cell biology or biochemistry
course)"
02326,"(01904/62506).­(02312/02314/62507) , An introductory course in
   programming + an introductory course in discrete mathematics.
   (e.g. 01904)."
02363,"02314.­62531.­62532.­02327.­02362.­02369.­62443, The course is offered for ITØ
   students and is part of DTU's CDIO concept. It is
   recommended that 62597 will be taken at the same
   time."
02368,(02312/02314).­02313.­((01917.­02324)/02802))
62410,"The course is a CDIO design-build course at advanced level,
based on all compulsory courses from 1st to 4th. semester for
IT-sw, IT-Ø, and IT electronics, as courses in 4th semester can be
taken simultaneously."
62550,"0231302314/02312, The course is part of DTU's CDIO
concept as the main project course on the 3rd semester, and
collaborates with course 02369 with a common project. It is assumed
that course 02369 is followed concurrently with this course.
Knowledge of object oriented programming. Knowledge of agile
software development and UML modeling."
62589,"It is recommended, but not required,that the students have a
basic understanding of statistics, SQL and MS Excel."
62596,"Knowledge of Java, object-oriented programming and basic
understanding of multithreaded programming. Knowledge of network
protocols, including TCP/IP and HTTP."
41216,"41501.41502.41312.41202/41201.41271. , Mathematics including linear
   algebra, calculus and differential equations; Statistics and
   probability theory; Statics, mechanical vibrations, and strength
   of materials; Fluid mechanics; Programming using e.g. MATLAB;
   Fundamental knowledge of maritime
   structures."
41222,"41201.­(41312/41102/10346).­(41224.­41225)/41226.­02631.­02685, Basic naval architecture and
   ocean engineering, basic fluid mechanics, linear wave theory and
   programming in Matlab are expected. Ordinary and partial
   differential equations and nonlinear wave theory are
   desirable."
02155,"02132/02135/02139.­(02100/02102) , Basic skills in programming and
   digital electronics"
34120,01005
34130,"34120/31400/10036.­34210/34230/34231, Basic experience with Matlab
   programming."
34220,02002/02101.01001/01005
34229,34302.34334.02002.01001
34319,"02101/02102.34310/34311.02105/02161, Participation in the course
   assumes a general knowledge of modern communication networks and
   protocols in addition to software development in
   Java."
34330,"34310/34311, Participation in the course
   assumes knowledge in general about concepts such as services,
   signalling and protocols in modern networks for
   telecommunication."
34338,Basic programming skills
34341,34310/34311
34349,02139.34310
34351,34311/34313/34322.34210
34355,34310/34311
34357,34302.­34313.­34323/34347/02815
34363,"34330/34343, Understanding of mobile
   communication systems. Ability to understand scientific papers
   covering the latest research in the field of mobile
   communication."
34368,34310/34311/34130/34140
34249,"Knowledge of programming languages. Knowledge of VHDL is an
advantage."
01238,"01125/01237, Knowledge about fundamental
   concepts and results from calculus, geometry, and linear algebra
   is assumed as a prerequisite."
31520,"01005, Differential equations, vector
analysis, mechanics"
31540,"Fysiology and anatomy. Good knowledge of Matlab is essential.
Basic knowledge of nuclear physics."
31561,"(02402/02403/02405).­(31605) , Linear systems or basic signal
   analysis and introductory statistics"
31605,(31004/31510).­01005.­01035.­(10020/10022/10024/10026).­(02631/02633)
34366,"Experience with script programming (e.g. MATLAB, Python, etc.)
and object-oriented programming (e.g. Java, C++, or python
etc.)."
41560,41501.01035
30200,"Passed courses corresponding to the mandatory parts of the
bachelor program in Earth and Space Physics and
Engineering."
30210,30200.30230
30220,"(30201/30202).30230, and as a minimum one course from
   each of the two lists of technological specialization
   courses."
30350,"Electromagnetic Waves, Polarisation. Knowledge of programming,
e.g. MATLAB"
30540,"(02502/02504/02501) , Digital image analysis and
   Computer vision."
30740,01005.­(10022/10024/(10033.­10034)).­(10036/31400).­(02631/02632/02633).­30140.­30230.­30210
31310,31300/31301
31320,"31310, Knowledge of state-space description
of dynamical systems. Knowledge of observer based feedback
control."
31380,"Experience with script programming (e.g. MATLAB, Python, etc.)
and object-oriented programming (e.g. Java, C++, or python etc.).
The programming language in the course is Python."
31383,"31300/31301/41671/41672/42672, Knowledge of control theory
   corresponding to an introductory control
   course."
31386,"31385, Basic programming, knowledge of C or
C++"
31388,"31385.31300.31301, Basic programming, knowledge of C
   / C++ and feedback control"
42988,42889/42872/42986
42989,13506
42992,"42101, or another introductory course in
operations research"
23921,01907.23961.02593
23951,23962.02323
12111,"A basic course in chemistry (1st year chemistry course) and
basic knowledge on Excel"
12326,"Applied Geophysics. Geology. Hydrology. Good computer skills
are important (scripting in MATLAB/Python, EXCEL etc.)"
12344,"12320, Introductory hydrology
course"
42640,"42610, Theory of Science in Engineering
(42610) or the equivalent."
42890,"02323/02403/02403/62668, Introduction to
   statistics"
02830,"02238/02266/02285/02456/02458/02506/02513/02515/02562/02564/02565/02808/02823/02826, One or more courses in topics
   pertaining to digital media technology. E.g. computer graphics,
   digital sound, mobile apps, information visualization, web or
   social media. The ability to use programming as a tool is a
   prerequisite."
31070,"30010./02318. , or equivalent basic knowledge about
C programming, internet protocols, and web programming, such as
HTML, JSON, Java or JavaScript."
23206,"A background in molecular biology, gene cloning, PCR, western
blot, etc is essential to understand and follow the
course."
23210,"Knowledge of and interest in microbial quality and safety of
food"
02191,02239/02233
02190,Communication and Networks (KU)
02341,02344
02343,"01917.­02321.­02323.­02324.­02325.­02326.­02332.­02333.­02341.­02342.­02344.­31021, where the courses 02333, 02341
   and 02342 can be taken in parallel with
   02343."
41784,"41787/41788/41862, Fundamental course in
   manufacturing processes"
02347,"02312/62514.02326, Skills in object oriented
   programming. Knowledge of basic algorithms and data
   structures."
62501,"Knowledge corresponding to a Data Communication class and
programming skills"
62620,41681/62009/62183/41683/41650/41659/41680
11404,"11450/62622, 11450 ""Basic Course in Road
   Pavements"" gives knowledge into the fundamental design and
   construction of road pavements which is overall the same
   principles used in the construction and design of the trackbed
   for Railways. 62622 ""Railway Technology and
   Operations"" ensures that the students have knowledge with
   respect to capacity and running time calculation for creating
   timetables for railway operations."
42942,42973.42941
42973,"62096, or similar GIS
prerequisites"
42975,13000/13500/13501/13510/42872/42986/42889
34230,01035/02451/31605/31606.­02405
34240,"34220/34230/34231/02502, or courses in image and signal
   processing and familiarity with Matlab or
   Python"
34241,"34220/34230/34231/34240/02502, or experience with image
   processing. Experience with either Matlab or Python required
   (exercises can be done in one of the two languages)."
34250,"34240/34241, or knowledge of image or video
   coding"
34251,"01405/30300/34230/34231.­02405, Experience in MATLAB is required.
   C/C++ may be alternatives, but MATLAB is used in
   examples"
02564,"02561.02110, Knowledge about computer graphics
   corresponding to the level of an introductory course is assumed.
   Basic computer programming skills are
   required."
26122,(26006.26301)/(26173.26374)
26327,"01005.­10020.­(26000/26027/26171/26172).­(26201/26202).­26400, Matematics, physics and general,
   physical, and organic chemistry"
36625,"27611.­27619.­02115/02102/02312, or equivalent. Able to solve
   bioinformatic problems in a structured manner using simple
   programs and scripts in Unix environment, for example during
   project work. or equivalent"
26003,26001.26400
26127,26006/26001.26124
26455,"26433, Organic Chemistry 3. Alternatively,
a BSc in chemistry with focus on organic
chemistry."
26225,"(26222/26220).(26301/26300) , or similar laboratory
   experience"
47336,"10031/10036/10041or26000/26027/26030/26030/26171/26201/26330or31400or41650/41680/41681/41685, If the student does not have such
   background, she/he should contact the course responsible asking
   for basic literature."
47305,"26201and/or10018or equivalent , Bachelor in Chemistry
and Technology, Physics and Nanotechnology, General Engineering
(Advanced Materials and Future Energy), Mechanical Engineering or
similar bachelor programme."
26944,26428
01020,"01001/01005, 01001 or first half of 01005. in
   particular, the following subjects: Matrix and Matrix Algebra,
   Determinants, Vector Spaces, Linear Transformations, Eigenvalues
   and Eigenvectors, Similarity and Diagonalization, and Symmetric
   Matrices."
22140,"(27002/27008).­27022.­27026.­(36611/22111).­22100, A working knowledge of the
   programming language R OR parallel participation in course 22100
   - R for Bio Data Science. Note that solving exercises both at
   lectures and the exam requires programming in R. Knowledge of
   cell structure, its biological function, subcomponents,
   biochemical and molecular processes (metabolism, RNA- and
   protein synthesis), structure of DNA, protein-coding genes, the
   standard genetic code, the primary (sequence), secondary
   (helices/coils), tertiary (3D) and quaternary (complex)
   structure of proteins. Basic knowledge and ability to apply
   bioinformatics methods and the knowledge to collect and process
   relevant biological data from large-scale databases such as
   UniProt and GenBank."
24005,26000.27002/27008.27004
10331,10036.10034.26000/26021 or equivalent courses
22451,"01005, Differential equations, vector
analysis, mechanics"
41344,41401
41512,"41511, Machine Elements -
Basics"
41515,"10022/62675.­41501/41533.­41564/62643/62694, Programming
   experience."
41517,"41516.41812/41958eller tilsvarende , and knowledge
   of MatLab or similar."
41402,41401/41045/41431/47201/62604
41522,"41560/41214/41514/62643/41237/41564, / course in elementary vibration
theory. Experience in MATLAB/Maple/Python
programming."
41528,"41502/41534, Linear elastic continuum mechanics.
Knowledge of tensors and linear finite element theory is
recommended."
41563,"41312.41560/62694/41564, Hydrostatics, pipe flows, loss
   coefficients, conservation equations (control volume) Dynamic
   characteristics of single degree of freedom systems,
   eigenfrequency and damping."
02507,"02502, Knowledge of introductory image
analysis or computer graphics."
27060,"27026.27051.27022, The subject and the level
   requires that the students have a good understanding of cell
   biology (both pro- and eukaryotes), the central dogma and the
   underlying processes (transcription, mRNA processing,
   translation and regulation)."
27255,"27026, Knowledge of microbial biodiversity
and bacterial genetics and physiology to the level needed to be
able to participate in reading and discussion of scientific
literature."
12140,"12122.­(12320).­12110.­12233, A background knowledge of
   hydrology and/or urban drainage, wastewater treatment and
   receiving water pollution from your previous education is
   necessary to follow this course. Basics knowledge of statistics
   is also recommended. At DTU the three courses mentioned under
   recommended prerequisites are necessary as prior basis (at least
   2 of 3 courses). You should furthermore have some experience
   with computer simulations, spreadsheets and use of the
   Internet."
12109,"12102/12104, Course in Water Chemistry, Course
   in Environmental Processes, or Equivalent"
30300,"Participants who have completed the mandatory courses of BSc in
Electrotechnology, Physics and Nanotechnology, Mathematics and
Technology, Network Technology and IT, or Earth and Space Physics
and Engineering."
30320,"30020.30330, Digital or analogue system design
   experience is desirable."
30330,"30020/30021, Complex functions and
   Microcomputer systems."
31015,Three semesters of Electrotechnology
31606,"31605. , The course is a continuation of
course 31605. Equivalent knowledge is expected for
participation."
25303,"01035/01005, Basic knowledge of ordinary
   differential equations and linear algebra, corresponding to
   courses 01035/01005, or similar. Knowledge of MATLAB, R, or
   Python programming. Students lacking those skills should follow
   25328, which is the same course with added introduction to the
   required math and programming. No prior biological knowledge is
   required."
12331,"12330, Contaminated sites"
25312,25349/25318
12343,"12320, Introductory
hydrology"
12812,"This course is only open for DTU students at the MSc
Environmental Engineering programme."
25324,25102
27254,"27230.27250.27430.23258, Knowledge of medical
   microbiology, pathogenic micro-organisms. General laboratory
   skills"
10104,"10018/10020/10022/10024/10026, , Physics 1 or equivalent
   courses"
22400,"Design-build courses 1-3 on the General engineering BSc
programme."
25310,25301
25314,"25303/25328, Have the ability to program in
   Matlab or an equivalent programming
   language."
25316,25331
25331,"25316, Current or previous enrolment in
course 25316 Recirculating Aquaculture systems is a prerequisite to
enroll for this course. We recommend taking the two courses in the
same semester."
30760,30230.­(02631/02632/02633).­02686.­01418
30752,(10020/10022/10024).­30150.­(30140/30141/30142)
41516,"41501/41533/41203.­41502/41534, and programming expertise (e.g.
   MATLAB). Recommended is also experience with Finite Element
   programs e.g. 41812/11305/41958."
41709,"41781.­41782.­41704/41784.­41661, Basic knowledge on metallurgy and
   calculations of mechanical and/or thermal manufacturing
   processes in metals (metal cutting, metal forming, casting,
   welding)"
46910,"(41501/41502)(41812/41525/)(41526) , or other courses covering
   strength of materials and an introduction to the finite element
   method or other courses covering composite materials and
   fracture mechanics"
41730,41713/41714/41784/41787/41788/41862.41502/41534
41743,"Technical drawing 41000 (or equivalent). Production technology
41714/41781/41787/41788. Materials technology 41650, 41659. Micro
technology 41742."
46110,"41312/41102/41065/02633, Matlab skills required, eg.
   02633"
41663,41015/41650/41659/41681/41683/33323/10030/10020/10022/26000/27002/27022/28001
41742,"Production technology 41703/41781; Materials technology 41650,
41659 or equivalent"
46415,"Students are expected to take this course later in the program
once they have gained some understanding with wind turbine
technology. It is also recommended that students are comfortable
with Matlab programming."
41669,"41650/41659/41681/41683/41680/41686or41661/41664/41662, Materials Science or metals
   technology"
41810,"(41511/41513/41540).­(41560/41035/41214).­
   (41501/41015/41203/41533) , Machine design, Mechanical
   vibrations, Strength of materials"
41819,"41533.41534 or similar. Also knowledge on Matlab, Mathcad or
similar math software package in relation to solving matrix
equation systems."
41658,"41650/41657/41659/41661/41680/41681/41683/41686, or equivalent Materials science
   or Metals technology"
31502,31501.KU002
41739,"Knowlegde of polymers, metals and material process technologies
e.g. 41736/​41737/​41785/​42231/​42233/​42932, 41650,
41659"
34346,"Either/enten34315or/eller34338or/eller Arduino
experience/erfaring."
41662,"41650/41659/41681/41683/41686/(41680.­41684).­41651/41661, Materials science Metals
   technology"
41668,"41661/41662, or equivalent course at the MSc
   level, basic knowledge about Matlab"
46500,"46300, Background knowledge in statistics
and probability is recommended, similar to the content of the
courses 02402 and 02406. It is also assumed that the students are
already familiar with basic wind energy topics as the ones taught
in course 46300, and are able to use Matlab or Python programming
languages. Based on these requirements, it is recommended that the
course is taken during the second year of M.Sc.
studies."
46320,"46300/46310, Students are recommended to have
   taken 46300 and/or 46310 and be comfortable programming in
   Python. Knowledge of structural dynamics and aerodynamics is
   required, and knowledge of wind turbine technology, wind turbine
   aerodynamics and basic control theory (PI controller) is highly
   recommended."
47317,"10018or26201or28221or41401or47201, Basic knowledge of thermodynamics
(bachelor level), e.g. 10018, 26201, 28221, 41401 or
47201"
46411,41501/41812/46420
31270,31200/31241
31321,31320
34903,"Some knowledge on photonics – some projects might have
individual prerequisites (please contact the course responsible for
details)"
41665,"41650/41657/41659/41661/41680/41681/41683/41684/41015, Basic materials science and
   technology"
41888,"Ability to work independently and systematically. Each research
project has in addition specific academic prerequisites."
02687,"02687 can be followed in the same semester as 02686. Both
courses can be taken independently and in any
order."
41685,"41650/41659/41680/41681/41683/41686/41015.10041, Introduction to Materials Science
   and Engineering, Physics"
02421,"(02402/02405).(34721/28150/02417) , Introductory course in
   statistics (02402) or probability theory (02405) and in control
   (34721 / 28150) or time series analysis
   (02417)."
31340,31300
